estado,anio,precio_promedio
nayarit,2019,2707.501266479492
nuevo leon,2018,2666.976538764106
nuevo leon,2019,2762.3683905117755
nuevo leon,2020,2891.2200202941895
nuevo leon,2021,3186.272580295139
nuevo leon,2022,3130.4010616278497
nuevo leon,2023,3325.877676904729
nuevo leon,2024,3508.313792744621
oaxaca,2018,2876.8984572466684
oaxaca,2019,2891.8656099759614
oaxaca,2020,2706.989241690006
oaxaca,2021,2859.354433926669
oaxaca,2022,2872.6811844675162
oaxaca,2023,3181.5772443498886
oaxaca,2024,3286.870016163793
puebla,2018,2715.7099947415863
puebla,2019,2780.4693196614585
puebla,2020,2576.2826181087853
puebla,2021,2869.475000554865
puebla,2022,2974.2184089781745
puebla,2023,3328.850574028201
puebla,2024,3363.6958264802633
queretaro,2018,2884.987485604457
queretaro,2019,2857.4884166789507
queretaro,2020,2732.2643139089337
queretaro,2021,2955.1851000183324
queretaro,2022,3159.0448189241342
queretaro,2023,3445.393518218361
queretaro,2024,3669.2232776988635
quintana roo,2018,2764.548466052039
quintana roo,2019,2855.486306762695
quintana roo,2020,2767.3134907567223
quintana roo,2021,2968.9432239163307
quintana roo,2022,3221.498493233112
quintana roo,2023,3335.6115147455826
quintana roo,2024,3388.253448486328
san luis potosi,2018,2854.273534601385
san luis potosi,2019,2824.455409137749
san luis potosi,2020,2743.2202639789703
san luis potosi,2021,2930.0043968344635
san luis potosi,2022,3129.8762507697043
san luis potosi,2023,3338.196594557837
san luis potosi,2024,3427.0264772901346
sinaloa,2018,2599.1196981894004
sinaloa,2019,2717.0219836819556
sinaloa,2020,2621.567004394531
sinaloa,2021,2907.318953329058
sinaloa,2022,3016.342532103089
sonora,2018,2779.4974789160565
sonora,2019,2838.9043969726563
sonora,2021,2979.7524249102617
sonora,2022,3042.863549126519
sonora,2023,3208.0843198029893
sonora,2024,3559.022705078125
tabasco,2018,2825.6571118903885
tabasco,2019,2792.7415060395174
tabasco,2020,2683.6563500976563
tabasco,2021,2964.139797044837
tabasco,2022,3121.7939540765224
tabasco,2023,3408.164357807822
tabasco,2024,3477.0050159801135
tamaulipas,2018,2728.7558599793083
tamaulipas,2019,2704.4207283182345
tamaulipas,2020,2628.904983520508
tamaulipas,2021,2782.295789216694
tamaulipas,2022,3156.948275862069
tamaulipas,2023,3431.9746628534226
tamaulipas,2024,3590.4403401692707
tlaxcala,2018,2951.758572938012
tlaxcala,2019,3019.7886101774466
tlaxcala,2020,2680.3929869870103
tlaxcala,2021,2734.0132526901534
tlaxcala,2022,3049.900870768229
tlaxcala,2023,3273.270207331731
tlaxcala,2024,3289.199951171875
veracruz,2018,2795.588706351615
veracruz,2019,2732.769624988807
veracruz,2020,2593.040001502404
veracruz,2021,2936.770246769832
veracruz,2022,3096.2498483368845
veracruz,2023,3303.08910586229
veracruz,2024,3403.9870999243954
yucatan,2018,2837.011201171875
yucatan,2019,2796.767863545441
yucatan,2020,2687.3940490218233
yucatan,2021,2985.1724936917703
yucatan,2022,3084.6004218644994
yucatan,2023,3414.861012560256
yucatan,2024,3540.936512082122
zacatecas,2018,2767.4176073831227
zacatecas,2019,2793.681478192729
zacatecas,2020,2659.147441630461
zacatecas,2021,2797.7245353929925
zacatecas,2022,3010.7872914688364
zacatecas,2023,2943.5633544921875
zacatecas,2024,3192.5128226902175
